Time,Latitiude,Longitude
1545491735,21.7795,-141.9890
1545491740,22.0209,-141.7759
1545491745,22.2860,-141.5407
1545491750,22.5266,-141.3260
1545491755,22.7669,-141.1104
1545491761,23.0308,-140.8723
1545491766,23.2703,-140.6550
1545491771,23.5095,-140.4368
1545491776,23.7722,-140.1958
1545491781,24.0106,-139.9758
1545491786,24.2487,-139.7548
1545491792,24.5101,-139.5107
1545491797,24.7473,-139.2879
1545491802,24.9841,-139.0641
1545491807,25.2442,-138.8168
1545491812,25.4802,-138.5910
1545491818,25.7393,-138.3415
1545491823,25.9744,-138.1137
1545491828,26.2091,-137.8848
1545491833,26.4667,-137.6319
1545491838,26.7005,-137.4010
1545491843,26.9338,-137.1689
1545491849,27.1899,-136.9125
1545491854,27.4223,-136.6782
1545491859,27.6542,-136.4429
1545491864,27.9088,-136.1827
1545491869,28.1397,-135.9451
1545491874,28.3702,-135.7063
1545491879,28.6001,-135.4664
1545491885,28.8524,-135.2012
1545491890,29.0813,-134.9589
1545491895,29.3096,-134.7154
1545491900,29.5602,-134.4462
1545491906,29.7875,-134.2002
1545491911,30.0142,-133.9530
1545491916,30.2630,-133.6795
1545491921,30.4885,-133.4297
1545491926,30.7135,-133.1786
1545491931,30.9380,-132.9262
1545491937,31.1842,-132.6472
1545491942,31.4073,-132.3921
1545491947,31.6300,-132.1357
1545491952,31.8741,-131.8521
1545491957,32.0955,-131.5929
1545491962,32.3162,-131.3323
1545491968,32.5583,-131.0441
1545491973,32.7777,-130.7806
1545491978,33.0182,-130.4892
1545491983,33.2363,-130.2227
1545491988,33.4536,-129.9549
1545491994,33.6919,-129.6585
1545491999,33.9079,-129.3875
1545492004,34.1231,-129.1151
1545492009,34.3591,-128.8136
1545492014,34.5729,-128.5380
1545492019,34.7859,-128.2609
1545492025,35.0194,-127.9542
1545492030,35.2309,-127.6738
1545492035,35.4417,-127.3918
1545492040,35.6726,-127.0798
1545492045,35.8818,-126.7944
1545492050,36.0902,-126.5074
