Time,Latitiude,Longitude
1545505452,-13.5051,-27.5776
1545505457,-13.7550,-27.3852
1545505462,-14.0048,-27.1924
1545505468,-14.2793,-26.9797
1545505473,-14.5286,-26.7859
1545505478,-14.7777,-26.5916
1545505483,-15.0515,-26.3773
1545505488,-15.3003,-26.1820
1545505493,-15.5488,-25.9861
1545505498,-15.7970,-25.7897
1545505504,-16.0699,-25.5731
1545505509,-16.3177,-25.3756
1545505514,-16.5653,-25.1775
1545505519,-16.8374,-24.9590
1545505524,-17.0844,-24.7598
1545505529,-17.3313,-24.5600
1545505535,-17.6025,-24.3395
1545505540,-17.8488,-24.1384
1545505545,-18.0949,-23.9367
1545505550,-18.3653,-23.7141
1545505555,-18.6109,-23.5111
1545505561,-18.8806,-23.2870
1545505566,-19.1256,-23.0826
1545505571,-19.3703,-22.8775
1545505576,-19.6391,-22.6512
1545505581,-19.8831,-22.4447
1545505586,-20.1269,-22.2375
1545505592,-20.3947,-22.0088
1545505597,-20.6379,-21.8001
1545505602,-20.8807,-21.5907
1545505607,-21.1475,-21.3595
1545505612,-21.3897,-21.1485
1545505617,-21.6315,-20.9367
1545505623,-21.8971,-20.7029
1545505628,-22.1383,-20.4895
1545505633,-22.3791,-20.2753
1545505638,-22.6436,-20.0387
1545505643,-22.8837,-19.8228
1545505648,-23.1234,-19.6060
1545505654,-23.3867,-19.3666
1545505659,-23.6256,-19.1481
1545505664,-23.8880,-18.9067
1545505669,-24.1262,-18.6863
1545505674,-24.3639,-18.4650
1545505680,-24.6251,-18.2204
1545505685,-24.8620,-17.9972
1545505690,-25.0986,-17.7731
1545505696,-25.3584,-17.5254
1545505701,-25.5941,-17.2992
1545505706,-25.8293,-17.0721
1545505711,-26.0642,-16.8439
1545505716,-26.3220,-16.5918
1545505721,-26.5560,-16.3616
1545505726,-26.7894,-16.1303
1545505732,-27.0457,-15.8748
1545505737,-27.2782,-15.6413
1545505742,-27.5103,-15.4068
